城市,日期,温度,天气,湿度,风向,紫外线,空气质量,PM值,日出,日落
阿城,2024年12月25日　星期三　甲辰年冬月廿五,-7℃,晴-16 ~ -6℃,湿度：70%,风向：西南风 4级,紫外线：弱,空气质量：良,PM: 65,07:10,15:53
昂昂溪,2024年12月25日　星期三　甲辰年冬月廿五,-17℃,晴-19 ~ -13℃,湿度：79%,风向：北风 3级,紫外线：很弱,空气质量：优,PM: 18,07:29,15:59
爱民,2024年12月25日　星期三　甲辰年冬月廿五,-4℃,轻度雾霾-15 ~ -2℃,湿度：67%,风向：西南风 3级,紫外线：弱,空气质量：轻度污染,PM: 93,06:56,15:46
安达,2024年12月25日　星期三　甲辰年冬月廿五,-13℃,晴-19 ~ -8℃,湿度：73%,风向：西风 3级,紫外线：弱,空气质量：良,PM: 61,07:20,15:56
爱辉,2024年12月25日　星期三　甲辰年冬月廿五,-17℃,阴-22 ~ -15℃,湿度：75%,风向：北风 3级,紫外线：很弱,空气质量：优,PM: 13,07:28,15:31
安图,2024年12月25日　星期三　甲辰年冬月廿五,-12℃,晴-16 ~ -3℃,湿度：84%,风向：西风 3级,紫外线：弱,空气质量：良,PM: 34,06:54,15:54
鞍山,2024年12月25日　星期三　甲辰年冬月廿五,3℃,轻度雾霾-6 ~ 5℃,湿度：63%,风向：西南风 3级,紫外线：弱,空气质量：轻度污染,PM: 83,07:11,16:24
阿旗,2024年12月25日　星期三　甲辰年冬月廿五,-4℃,晴-12 ~ -4℃,湿度：34%,风向：西风 5级,紫外线：弱,空气质量：优,PM: 0,07:32,16:27
敖汉,2024年12月25日　星期三　甲辰年冬月廿五,-3℃,晴-13 ~ -2℃,湿度：56%,风向：西风 5级,紫外线：弱,空气质量：良,PM: 39,07:27,16:33
阿鲁科尔沁旗,2024年12月25日　星期三　甲辰年冬月廿五,-4℃,晴-12 ~ -4℃,湿度：34%,风向：西风 5级,紫外线：弱,空气质量：优,PM: 0,07:32,16:27
阿巴嘎,2024年12月25日　星期三　甲辰年冬月廿五,-18℃,阴-19 ~ -12℃,湿度：69%,风向：西风 5级,紫外线：无,空气质量：优,PM: 15,07:53,16:47
阿荣旗,2024年12月25日　星期三　甲辰年冬月廿五,-11℃,小雪-20 ~ -11℃,湿度：69%,风向：北风 4级,紫外线：很弱,空气质量：优,PM: 31,07:35,15:57
阿尔山,2024年12月25日　星期三　甲辰年冬月廿五,-18℃,雾-22 ~ -14℃,湿度：79%,风向：西北风 2级,紫外线：很弱,空气质量：优,PM: 0,07:45,16:15
阿拉善盟,2024年12月25日　星期三　甲辰年冬月廿五,-9℃,多云-10 ~ -4℃,湿度：51%,风向：东北风 2级,紫外线：很弱,空气质量：优,PM: 3,08:13,17:40
阿拉善左旗,2024年12月25日　星期三　甲辰年冬月廿五,-9℃,多云-9 ~ -3℃,湿度：53%,风向：东北风 2级,紫外线：很弱,空气质量：优,PM: 23,08:13,17:41
阿拉善右旗,2024年12月25日　星期三　甲辰年冬月廿五,-12℃,晴-12 ~ -5℃,湿度：41%,风向：西北风 2级,紫外线：无,空气质量：优,PM: 30,08:31,17:55
安新,2024年12月25日　星期三　甲辰年冬月廿五,-5℃,中度雾霾-5 ~ 6℃,湿度：73%,风向：西南风 2级,紫外线：很弱,空气质量：中度污染,PM: 125,07:33,16:59
安国,2024年12月25日　星期三　甲辰年冬月廿五,-5℃,轻度雾霾-5 ~ 8℃,湿度：78%,风向：西南风 2级,紫外线：很弱,空气质量：轻度污染,PM: 82,07:34,17:03
安次,2024年12月25日　星期三　甲辰年冬月廿五,-3℃,中度雾霾-4 ~ 5℃,湿度：71%,风向：西南风 1级,紫外线：弱,空气质量：中度污染,PM: 116,07:31,16:54
安平,2024年12月25日　星期三　甲辰年冬月廿五,1℃,中度雾霾-5 ~ 6℃,湿度：69%,风向：西南风 2级,紫外线：弱,空气质量：中度污染,PM: 125,07:32,17:03
安庆,2024年12月25日　星期三　甲辰年冬月廿五,3℃,轻度雾霾3 ~ 12℃,湿度：80%,风向：东北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 100,07:06,17:17
安顺,2024年12月25日　星期三　甲辰年冬月廿五,3℃,雾3 ~ 9℃,湿度：99%,风向：东风 2级,紫外线：很弱,空气质量：优,PM: 17,07:41,18:11
宝山,2024年12月25日　星期三　甲辰年冬月廿五,9℃,雾4 ~ 12℃,湿度：83%,风向：东风 2级,紫外线：很弱,空气质量：优,PM: 33,06:50,16:57
北塘,2024年12月25日　星期三　甲辰年冬月廿五,7℃,雾7 ~ 12℃,湿度：93%,风向：东南风 2级,紫外线：很弱,空气质量：良,PM: 51,06:56,17:01
滨湖,2024年12月25日　星期三　甲辰年冬月廿五,8℃,雾4 ~ 11℃,湿度：92%,风向：东南风 2级,紫外线：很弱,空气质量：良,PM: 34,06:55,17:02
宝应,2024年12月25日　星期三　甲辰年冬月廿五,5℃,轻度雾霾3 ~ 11℃,湿度：78%,风向：东南风 1级,紫外线：很弱,空气质量：轻度污染,PM: 85,07:03,17:01
保康,2024年12月25日　星期三　甲辰年冬月廿五,5℃,晴-1 ~ 7℃,湿度：66%,风向：西风 1级,紫外线：中等,空气质量：优,PM: 16,07:32,17:37
巴东,2024年12月25日　星期三　甲辰年冬月廿五,8℃,多云5 ~ 8℃,湿度：73%,风向：东南风 1级,紫外线：很弱,空气质量：良,PM: 71,07:34,17:42
滨江,2024年12月25日　星期三　甲辰年冬月廿五,11℃,多云6 ~ 12℃,湿度：67%,风向：西风 1级,紫外线：很弱,空气质量：良,PM: 50,06:53,17:05
